Año;Cod_Inst;Nombre_Institución;Tipo_Institución;Clasificación1;Clasificación2;Clasificación3;Clasificación4;Clasificación5;Nombre_sede;Comuna_sede;Nombre_Región;Orden_Geográfico;Cód_Carrera;Carrera_genérica;Nombre_programa;Mención_Especialidad;Horario;Tipo_programa;Area_conocimiento;idgenerocarrera;Tipo_carrera;IngresoDirecto;Año_inicio;NombreCampus;Duración_semestres;Cód_campus;Cód_sede;Título;Grado_académico;Máximo_puntaje_psu_prom_math_leng;Promedio_pje_psu_prom_math_leng;Mínimo_puntaje_psu_prom_math_leng;Puntaje_corte_primerselec;Puntaje_corte_promcarrera;Puntaje_corte_ultselec;Máximo_pje_nem;Promedio_pje_nem;Mínimo_pje_nem;Máximo_pje_ranking;Promedio_pje_ranking;Mínimo_pje_ranking;Número_alumnos_ingreso_psu;Número_alumnos_otro_ingreso;Valor_matricula;Valor_arancel;Valor_título;Vacantes;Matrícula_primer_año_hombres;Matrícula_primer_año_mujeres;Matrícula_primer_año_extranjero;Matrícula_primer_año;Matrícula_total_hombres;Matrícula_total_mujeres;Matrícula_total_extranjero;Matrícula_total;Matrícula_total_cohorte_año_anterior;Cód_sies;Pregado_postgrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7406;Arte y similares;Artes Plásticas;;Diurno;Programa Regular;Arte y Arquitectura;1002005;Profesional con Licenciatura;Ingreso Directo;1945;Juan Gómez Millas;10;1001001007;1001001;"Pintor; Escultor; Grabador; Artista Fotógrafo; Artista Textil; Ceramista; Orfebre";Licenciado en Artes M/Artes Plásticas;;;;;;;;;;;;;;;144000;3388400;50000;;;;;0;93;270;0;363;;I70S1C69J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;29756;Arte y similares;Etapa Básica de la Licenciatura en Artes (P.E.); Artes Plásticas;Diurno;Programa Especial;Arte y Arquitectura;1002005;Plan Común o Ciclo Básico;Ingreso Directo;2013;Juan Gómez Millas;2;1001001007;1001001;;;;;;;;;;;;;;;;18;144000;2038600;0;;5;13;0;18;12;27;0;39;;I70S1C839J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;42979;Arte y similares;Licenciatura en Artes mención en Artes Visuales;Artes Visuales;Diurno;Programa Regular;Arte y Arquitectura;1002005;Licenciatura;Ingreso Directo;2020;Juan Gómez Millas;8;1001001007;1001001;;Licenciado(a) en Artes con Mención en Artes Visuales;734;607;480;797;668;620;788;662;491;850;696;492;79;5;144000;3388400;50000;80;13;71;0;84;13;75;0;88;;I70S1C931J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7408;Arte y similares;Teoría e Historia del Arte;;Diurno;Programa Regular;Arte y Arquitectura;1002005;Licenciatura;Ingreso Directo;1968;Juan Gómez Millas;10;1001001007;1001001;;Licenciado en Artes M/Teoría del Arte;708;606;510;752;645;601;750;615;462;824;639;466;33;;144000;3279800;50000;40;10;23;0;33;39;91;0;130;;I70S1C74J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;11675;Cine y Televisión;Cine y Televisión;;Diurno;Programa Regular;Arte y Arquitectura;1002008;Profesional con Licenciatura;Ingreso Directo;2006;Juan Gómez Millas;10;1001001007;1001001;Realizador en Cine y Televisión;Licenciado en Comunicación Audiovisual;741;637;492;787;697;657;803;697;591;850;746;589;57;6;144000;4517200;75000;52;37;26;2;63;211;143;4;354;;I70S1C455J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;9000;Composición, interpretación musical y similares;Composición, Licenciatura en Artes con mención (P.E.);;Diurno;Programa Especial;Arte y Arquitectura;1002009;Licenciatura;No es Ingreso Directo;2005;Andrés Bello;10;1001001002;1001001;;Licenciado en Composición;;;;;;;;;;;;;;;;;50000;3;0;0;0;0;32;2;0;34;;I70S1C80J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;29758;Composición, interpretación musical y similares;Etapa Básica de la Licenciatura en Artes (P.E.);Composición;Diurno;Programa Especial;Arte y Arquitectura;1002009;Plan Común o Ciclo Básico;Ingreso Directo;2013;Juan Gómez Millas;3;1001001007;1001001;;;;;;;;;;;;;;;;13;144000;2194300;0;;11;2;0;13;25;4;0;29;;I70S1C840J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;29759;Composición, interpretación musical y similares;Etapa Básica de la Licenciatura en Artes (P.E.); Interpretación Musical;Diurno;Programa Especial;Arte y Arquitectura;1002009;Plan Común o Ciclo Básico;Ingreso Directo;2013;Juan Gómez Millas;7;1001001007;1001001;;;;;;;;;;;;;;;;54;144000;2194300;0;;35;19;1;54;62;33;3;95;;I70S1C842J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7407;Composición, interpretación musical y similares;Interpretación Musical;Piano, Arpa, Guitarra, Órgano, Percusión, Violín, Viola, Violoncello, Director de Coro;Diurno;Programa Regular;Arte y Arquitectura;1002009;Profesional con Licenciatura;No es Ingreso Directo;1850;Andrés Bello;12;1001001002;1001001;Intérprete;Licenciado en Artes M/Interpretación Musical;;;;;;;;;;;;;;1;144000;3388400;50000;;1;0;0;1;152;61;0;213;;I70S1C71J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7463;Danza;Danza;;Diurno;Programa Regular;Arte y Arquitectura;1002010;Profesional con Licenciatura;Ingreso Directo;1989;Andrés Bello;10;1001001002;1001001;;Licenciado en Artes M/Danza;;;;;;;;;;;;;;;;;50000;;0;0;0;0;27;106;1;133;;I70S1C67J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;29760;Danza;Etapa Básica de la Licenciatura en Artes (P.E.);Danza;Diurno;Programa Especial;Arte y Arquitectura;1002010;Plan Común o Ciclo Básico;Ingreso Directo;2013;Juan Gómez Millas;1;1001001007;1001001;;;;;;;;;;;;;;;;33;144000;2750500;0;;1;32;0;33;2;33;0;35;;I70S1C841J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7456;Diseño;Diseño;;Diurno;Programa Regular;Arte y Arquitectura;1002012;Profesional con Licenciatura;Ingreso Directo;1996;Andrés Bello;10;1001001002;1001001;Diseñador Gráfico o Industrial;Licenciado en Diseño M/Industrial o Gráfico;758;607;462;728;640;600;802;660;528;850;689;528;124;4;144000;4321000;75000;140;28;100;0;128;207;521;8;728;;I70S1C23J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7410;Música, Licenciatura en música;Licenciatura en Artes M/ Sonido;Sonido;Diurno;Programa Regular;Arte y Arquitectura;1002021;Licenciatura;Ingreso Directo;1978;Amunategui;9;1001001008;1001001;;Licenciado en Artes M/Sonido;;;;;;;;;;;;;;;;;50000;;;;;0;5;0;;5;;I70S1C72J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7464;Bachillerato en Ciencias y similares;Programa Académico de Bachillerato;Cs. Naturales y Exactas, Humanidades y Cs. Sociales;Diurno;Programa Regular;Ciencias;1003006;Bachillerato;Ingreso Directo;1994;Juan Gómez Millas;4;1001001007;1001001;;Bachiller M/Cs.Nat y Exactas o Humanidades o Ciencias Sociales;785;670;576;782;699;642;824;712;535;850;751;574;314;33;144000;4012100;40000;300;153;194;1;347;240;291;2;531;;I70S1C184J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7455;Biología;Biología con mención en Medio Ambiente;;Diurno;Programa Regular;Ciencias;1003001;Profesional con Licenciatura;Ingreso Directo;1996;Juan Gómez Millas;10;1001001007;1001001;Biólogo M/Medio Ambiente;Licenciado en Ciencias Ambientales M/Biología;739;652;566;750;684;652;830;705;612;850;753;618;35;9;144000;3853000;75000;35;12;32;0;44;86;140;3;226;;I70S1C5J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7411;Biología;Licenciatura en Ciencias con mención en Biología;;Diurno;Programa Regular;Ciencias;1003001;Licenciatura;Ingreso Directo;1965;Juan Gómez Millas;8;1001001007;1001001;;Licenciado en Ciencias M/Biología;760;655;597;748;683;650;803;701;528;850;731;528;31;4;144000;3556300;50000;27;19;16;0;35;69;56;0;125;;I70S1C76J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7459;Bioquímica;Bioquímica;;Diurno;Programa Regular;Ciencias;1003007;Profesional con Licenciatura;Ingreso Directo;1957;Eloisa Díaz;12;1001001005;1001001;Bioquímico;Licenciado en Bioquímica;766;681;621;796;718;690;809;746;676;850;788;699;42;13;144000;4373100;75000;39;29;26;1;55;155;144;4;299;;I70S1C6J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7468;Física, Astronomía y similares;Licenciatura en Ciencias;Astronomía, Geofísica, Física;Diurno;Programa Regular;Ciencias;1003004;Licenciatura;Ingreso Directo;1965;Beaucheff;8;1001001003;1001001;;Licenciado en Ciencias M/Astronomía, Geofísica;;;;;;;;;;;;;;;;;50000;;;;;0;44;8;0;52;;I70S1C183J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7412;Física, Astronomía y similares;Licenciatura en Ciencias con mención en Física;;Diurno;Programa Regular;Ciencias;1003004;Licenciatura;Ingreso Directo;1965;Juan Gómez Millas;8;1001001007;1001001;;Licenciatura en Ciencias M/Física;803;680;636;816;718;695;813;726;640;850;771;644;29;10;144000;3556300;50000;27;33;6;1;39;112;26;2;138;;I70S1C77J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7451;Geología;Geología;;Diurno;Programa Regular;Ciencias;1008056;Profesional con Licenciatura;Ingreso Directo;1944;Beaucheff;12;1001001003;1001001;Geólogo;Licenciado en Ciencias M/Geología;;;;;;;;;;;;;;;;;75000;;;;;0;117;76;0;193;;I70S1C44J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7413;Licenciatura en Matemáticas;Licenciatura en Ciencias con mención en Matemáticas;;Diurno;Programa Regular;Ciencias;1003014;Licenciatura;Ingreso Directo;1960;Juan Gómez Millas;8;1001001007;1001001;;Licenciado en Ciencias M/Matemáticas;799;686;598;819;703;677;809;673;523;850;704;523;29;2;144000;3556300;50000;27;24;7;0;31;80;32;0;112;;I70S1C78J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7414;Química y carreras similares;Licenciatura en Ciencias con mención en Química;;Diurno;Programa Regular;Ciencias;1003016;Licenciatura;Ingreso Directo;1965;Juan Gómez Millas;8;1001001007;1001001;;Licenciado en Ciencias M/Química;701;619;515;722;631;600;756;624;506;850;653;506;22;;144000;3657600;50000;27;15;7;0;22;55;32;2;87;;I70S1C79J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7425;Química y carreras similares;Química;;Diurno;Programa Regular;Ciencias;1003016;Profesional con Licenciatura;Ingreso Directo;1960;Eloisa Díaz;12;1001001005;1001001;Químico;Licenciado en Química;728;633;556;752;646;623;771;643;513;842;672;513;46;1;144000;4273400;75000;39;30;17;1;47;139;79;2;218;;I70S1C175J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7415;Química y carreras similares;Química Ambiental;;Diurno;Programa Regular;Ciencias;1003016;Profesional con Licenciatura;Ingreso Directo;1995;Juan Gómez Millas;10;1001001007;1001001;Químico Ambiental;Licenciado en Ciencias Ambientales M/Química;749;625;547;754;652;620;803;669;587;850;698;602;34;1;144000;3853000;75000;30;10;25;0;35;68;111;0;179;;I70S1C176J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7427;Antropología, Arqueología y similares;Antropología - Arqueología;;Diurno;Programa Regular;Ciencias Sociales;1004007;Profesional con Licenciatura;Ingreso Directo;1969;Juan Gómez Millas;10;1001001007;1001001;Antropólogo Físico, Antropólogo Social o Arqueólogo;Licenciado en Antropología M/Antropología Física, Antropología Social, Arqueología;739;636;479;802;717;674;823;721;608;850;771;616;81;8;144000;3493700;50000;70;32;57;1;89;190;411;3;601;;I70S1C2J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;40926;Ciencias Políticas y similares;Ciencia Política;;Diurno;Programa Regular;Ciencias Sociales;1004010;Profesional con Licenciatura;Ingreso Directo;2019;Andrés Bello;10;1001001002;1001001;Cientista Político/a;Licenciado/A en Ciencias Políticas;745;643;455;799;712;673;788;721;654;850;760;656;29;3;144000;3984700;75000;30;18;14;1;32;33;32;2;65;;I70S1C911J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;38518;Ciencias Políticas y similares;Estudios Internacionales;;Diurno;Programa Regular;Ciencias Sociales;1004010;Profesional con Licenciatura;Ingreso Directo;2018;Juan Gómez Millas;10;1001001007;1001001;Internacionalista;Licenciado/A en Estudios Internacionales;763;660;573;787;738;705;803;755;661;850;804;657;39;9;144000;3477000;75000;35;7;41;4;48;43;104;5;147;;I70S1C901J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7428;Periodismo y similares;Periodismo;;Diurno;Programa Regular;Ciencias Sociales;1004001;Profesional con Licenciatura;Ingreso Directo;1953;Juan Gómez Millas;10;1001001007;1001001;Periodista;Licenciado en Comunicación Social;715;622;462;781;675;639;792;668;544;850;712;551;121;8;144000;3628800;75000;105;57;72;2;129;277;380;5;657;;I70S1C162J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7429;Psicología;Psicología;;Diurno;Programa Regular;Ciencias Sociales;1004002;Profesional con Licenciatura;Ingreso Directo;1947;Juan Gómez Millas;12;1001001007;1001001;Psicólogo;Licenciado en Psicología;778;685;606;801;747;726;830;752;672;850;810;688;62;47;144000;3493700;75000;55;30;79;1;109;219;462;8;681;;I70S1C174J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;7430;Sociología;Sociología;;Diurno;Programa Regular;Ciencias Sociales;1004005;Profesional con Licenciatura;Ingreso Directo;1958;Juan Gómez Millas;10;1001001007;1001001;Sociólogo;Licenciado en Sociología;742;663;549;790;699;658;809;703;597;850;733;605;79;10;144000;3493700;75000;70;43;46;0;89;252;241;2;493;;I70S1C178J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Ñuñoa;Región Metropolitana;7;31489;Trabajo Social, Servicio Social, Planificación Social y similares;Trabajo Social;;Diurno;Programa Regular;Ciencias Sociales;1004006;Profesional con Licenciatura;Ingreso Directo;2015;Juan Gómez Millas;10;1001001007;1001001;Trabajador Social;Licenciado(a) en Trabajo Social;705;607;470;743;665;619;778;681;513;850;721;514;49;14;144000;3493700;75000;50;14;49;1;63;62;239;1;301;;I70S1C864J1V1;Pregrado
2020;1001;U. DE CHILE;Univ.;(a) Universidades CRUCH;(a) Universidades Estatales CRUCH;(a) Acreditada;(a) Autónoma;(a)Adscritas a Gratuidad;Santiago;Santiago;Región Metropolitana;7;7432;Derecho;Derecho;;Diurno;Programa Regular;Derecho;1005001;Profesional con Licenciatura;Ingreso Directo;1842;Andrés Bello;10;1001001002;1001001;Abogado;Licenciado en Ciencias Jurídicas y Sociales;798;653;472;826;732;702;835;730;597;850;777;612;415;81;144000;4855500;50000;418;184;312;3;496;1350;1522;14;2872;;I70S1C21J1V1;Pregrado
